,character,line #,line
0,WORKER,0,Master Li is here!
1,AUNT WU,1,Shu Lien!
2,AUNT WU,2,Li Mu Bai is here!
3,LI,3,How's everything?
4,AUNT WU,4,Fine.  Please come in.
5,YU,5,Mu Bai...It's been too long.
6,LI,6,It has.
7,LI,7,How's business?
8,YU,8,Good.  And how are you?
9,LI,9,Fine.
10,YU,10,"Monk Zheng said you were at Wudan
Mountain.  He said you were
practicing deep meditation."
11,LI,11,Yes.
12,YU,12,"The mountain must be so peaceful...
I envy you.  My work keeps me so
busy, I hardly get any rest."
13,LI,13,I left the training early.
14,YU,14,"Why?  You're a Wudan fighter.
Training is everything."
15,LI,15,"During my meditation training... I
came to a place of deep silence...
I was surrounded by light... Time
and space disappeared.  I had come
to a place my master had never told
me about."
16,YU,16,You were enlightened?
17,LI,17,"No.  I didn't feel the bliss of
enlightenment.  Instead... I was
surrounded by an endless sorrow.  I
couldn't bear it.  I broke off my
meditation.  I couldn't go on.
There was something... pulling me
back."
18,YU,18,What was it?
19,LI,19,"Something I can't let go of.  You
are leaving soon?"
20,YU,20,"We're preparing a convoy for a
delivery to Peking."
21,LI,21,"Perhaps I could ask you to deliver
something to Sir Te for me."
22,YU,22,"The Green Destiny Sword?  You're
giving it to Sir Te?"
23,LI,23,"I am.  He has always been our
greatest protector."
24,YU,24,"I don't understand.  How can you
part with it?  It has always been
with you."
25,LI,25,"Too many men have died at its edge.
It only looks pure because blood
washes so easily from its blade."
26,YU,26,"You use it justly, you're worthy of
it."
27,LI,27,It's time for me to leave it behind.
28,YU,28,So what will you do now?
29,YU,29,"Come with me to Peking.  You can
give the sword to Sir Te yourself.
It'll be just like old times."
30,LI,30,"First I must visit my master's
grave.  It's been many years since
Jade Fox murdered him.  I have yet
to avenge his death.  And yet I'm
thinking of quitting.  I must pray
for his forgiveness."
31,YU,31,"Join me once you have finished.  I
can wait for you in Peking."
32,LI,32,Perhaps.
33,GUARDS,33,Ok.  Pass.
34,YU,34,Thanks.  Let's go into the city.
35,GIAO,35,"Everything got here safely.  I'm
much obliged."
36,YU,36,Just doing my job.
37,GIAO,37,"Sun Security has been the best
since your father started it.
You're a credit to his memory."
38,YU,38,Thank you.
39,GIAO,39,I mean it.
40,SIR TE,40,"This is Li's personal sword, a
great hero's weapon!  He is the
only one in the world worthy of
carrying it.  It's too fine a gift.
I cannot accept it."
41,YU,41,"Sir Te!  It has brought him as much
trouble as glory.  Help him to
leave these troubles behind.
Otherwise, he'll never be able to
start anew."
42,SIR TE,42,"All right.  I'll act as the sword's
custodian."
43,DE LU,43,Governor Yu has arrived.
44,SIR TE,44,I must change.
45,YU,45,"You've always been so good to Li Mu
Bai and me.  Please accept our
thanks."
46,SIR TE,46,"Please do not be such a stranger.
You'll stay the night as my guest.
Now, Shu Lien... tell me something.
And forgive me for prying.  Your
father was a great friend to me,
and I think of you as my own
daughter."
47,YU,47,"Please, Sir Te, what is it?"
48,SIR TE,48,"Li Mu Bai giving up his sword and
his warrior days... maybe he's
trying to tell you something?"
49,YU,49,I don't know...
50,SIR TE,50,"Don't be coy.  I've always known
about your feelings for each other.
All these years, it's a shame...
neither of you is brave enough to
admit the truth to the other.
You're both wasting precious time."
51,YU,51,"I beg your pardon.  Li Mu Bai and I
aren't cowards."
52,SIR TE,52,"When it comes to emotions, even
great heroes can be idiots.  Tell
me if Li Mu Bai is not more open
the next time you see him.  I'll
give him an earful!"
53,DE LU,53,"Sir Te said to leave the sword in
here."
54,DE LU,54,Who are you?
55,JEN,55,"I'm your guest today.  I am Governor
Yu's daughter."
56,DE LU,56,"This is Sir Te's study.  You are
here to..."
57,JEN,57,I was looking for a quiet corner.
58,DE LU,58,"I am Sir Te's head servant.  And
this is another of our guests."
59,JEN,59,"It's heavy for such a thin piece of
metal!"
60,YU,60,"The handle is heavy.  And the blade
is no ordinary metal.  Still, the
sword is the lightest of weapons.
You're just not used to handling it."
61,JEN,61,"But I have had much practice.  As a
child in the West, a platoon lived
with us.  They'd let me play with
their weapons.  The scabbard is so
beautiful."
62,YU,62,"Beautiful but dangerous.  Once you
see it tainted with blood, its
beauty is hard to admire.  It's 400
years old."
63,JEN,63,Exquisite!  You said it belongs to...
64,YU,64,"My friend Li Mu Bai.  He's given it
to Sir Te as a gift."
65,JEN,65,"Li Mu Bai!  The famous warrior?
Why would he give his sword to Sir
Te?"
66,YU,66,You're too young to understand.
67,JEN,67,You're a sword fighter too?
68,YU,68,"Yes, I am.  But I prefer the
machete.  Certain moves, however,
call for a sword."
69,JEN,69,Really?
70,JEN,70,"It must be exciting to be a fighter,
to be totally free!"
71,YU,71,"Fighters have rules too: friendship,
trust, integrity... Without rules,
we wouldn't survive for long."
72,JEN,72,"I've read all about people like you.
Roaming wild, beating up anyone who
gets in your way!"
73,YU,73,"Writers wouldn't sell many books if
they told how it really is."
74,JEN,74,"But you're just like the characters
in the stories."
75,YU,75,"Sure.  No place to bathe for days,
sleeping in flea-infested beds...
They tell you all about that in
those books?"
76,JEN,76,"You know what I mean.  I'm getting
married soon, but I haven't lived
the life I want."
77,YU,77,"So I heard.  Congratulations.  It's
the most important step in a
woman's life, isn't it?"
78,JEN,78,"You're not married, are you?"
79,YU,79,What do you think?
80,JEN,80,"No!  You couldn't roam around
freely if you were."
81,YU,81,You're probably right.
82,SIR TE,82,"Go ahead, Governor Yu."
83,SIR TE,83,"Two feet 9 inches long.  1 inch
wide.  The handle is 1 inch deep,
2.6 inches wide.  Seven-tenths of
an inch thick.  With seven rubies
missing from the hilt.  You can
tell the design dates back to
before the Chin era.  Engraved with
a technique lost by the time of the
Han Dynasty."
84,GOVERNOR YU,84,"Your knowledge is remarkable, Sir Te."
85,SIR TE,85,"A sword by itself rules nothing.
It comes alive only through skillful
manipulation."
86,GOVERNOR YU,86,I see your point.  Please continue.
87,SIR TE,87,"The Imperial Court isn't the
problem.  With royalty and officials
everywhere, the Royal Guard keeps
security tight.  But Peking is not
like the West.  Here, you'll find
all sorts of characters.  Proceed
with caution in your quest for law
and order.  Don't depend only on
the court.  Contacts in the Giang
Hu underworld can ensure your
position.  Be strong, yet supple.
This is the way to rule."
88,MAID,88,Governess...
89,GOVERNESS,89,Let me do it.
90,JEN,90,Please sit.
91,GOVERNESS,91,"I've made you silk pajamas.  Do you
want to change into them?"
92,JEN,92,Put them down.
93,GOVERNESS,93,I heard you met Shu Lien today.
94,JEN,94,Do you know her?
95,GOVERNESS,95,"She's one of those.  Your mother
would not want you consorting with
her kind."
96,JEN,96,"I'll socialize with whomever I
please."
97,GOVERNESS,97,"Don't invite danger into your
father's house."
98,JEN,98,I'm tired now.
99,GOVERNESS,99,"Go to bed then.  Miss has grown up,
and is getting married soon.  God
knows what the future will bring."
100,JEN,100,"It will be just the same.  Enough!
I'm tired."
101,GOVERNESS,101,"Autumn is coming.  I'll shut the
windows for you."
102,MASTER BO,102,"Chilly, eh?"
103,NIGHTMAN,103,"Yes, Master Bo."
104,BO,104,"Someone help!  Stop him!  He's on
the roof!  The sword's been stolen!
Stop thief!  Stop him!"
105,TSAI,105,It's Jade Fox!
106,MAY,106,We must avenge mother!
107,BO,107,Do something!  He's getting away!
108,YU,108,"Return the sword, and I'll let you
go."
109,YU,109,You've been trained at Wudan?
110,TSAI,110,"You're mistaken.  We're just street
performers.  We were rehearsing."
111,MAY,111,Father!
