,character,line #,line
0,MAN                                 *,0,He's here.
1,PHILIPS,1,"You're looking well, Dutch."
2,SCHAEFER,2,"It's been a long time, General."
3,PHILIPS,3,"We've got a real problem here,
something right up your alley."
4,PHILIPS,4,"Eighteen hours ago I was
informed that one of our
choppers, transporting three
presidential cabinet members
from this charming little
country, was shot down..."
5,PHILIPS,5,"...The pilots radioed from the
ground that they were all
alive.  Their position was
fixed by the transponder
beacon onboard the chopper."
6,PHILIPS,6,Here.
7,SCHAEFER,7,"That's over the border,
General."
8,PHILIPS,8,"That's the problem.  Apparently
they strayed off course."
9,PHILIPS,9,"We're certain they've been
captured by the guerrillas."
10,SCHAEFER,10,"What have you got in mind,
General."
11,PHILIPS,11,"We figure we've got less than
twenty-four hours to catch
up with them.  After that,
there's not much hope.  We
want a rescue operation
mounted tonight.  That doesn't
give you much time."
12,SCHAEFER,12,"What else it new?  When do
we leave?"
13,PHILIPS,13,You lift off in three hours.
14,PHILIPS,14,There's one other thing.
15,SCHAEFER,15,"What's that, General?"
16,PHILIPS,16,"Someone else will be going
in with you."
17,SCHAEFER,17,"You know we don't work with
outsiders, General."
18,VOICE,18,"Who said anything about
outsiders, Dutch?"
19,DILLON,19,"Last time we danced, it was
Lieutenant, Schaefer."
20,SCHAEFER,20,"Dillon, you son of a bitch."
21,DILLON,21,"How you been, Dutch?"
22,SCHAEFER,22,"You've been pushing too many
Pencils, Dillon.  Had enough?"
23,DILLON,23,"No way, old buddy."
24,SCHAEFER,24,"You never did know when to
quit."
25,DILLON,25,"That piece of work you guys
pulled off at the Berlin
embassy last week was really
something.  Blew the entry
points on three floors and
neutralized the opposition
in eight seconds flat.
Beautiful."
26,SCHAEFER,26,"Like the old days, Dillon."
27,DILLON,27,"Also heard that you passed
on that little job in Libya."
28,SCHAEFER,28,"Wasn't my style.  We're a
rescue unit, not assassins."
29,SCHAEFER,29,"This must be good.  Big shot
from the CIA, leaves his desk
to come back to the bush.
What's so important?"
30,DILLON,30,"Those cabinet members are
very important to our scope
of operations in this part
of the world.  They're about
to get squeezed.  We can't
let that happen.  I needed
someone who could get the job
done, quick and quiet...no
screw-ups.  I needed the best.
The best.  So, I pulled a few
strings at the State
Department...and here we are."
31,SCHAEFER,31,Go on.
32,DILLON,32,"The set-up is simple, Dutch.
One day job.  We pick up their
trail at the chopper, run 'em
down, grab the hostages and
bounce back across the
border before anyone knows
we were there.  You've done
it a hundred times.  Nothing
out of the ordinary."
33,SCHAEFER,33,"And nothing we can't handle
alone."
34,PHILIPS,34,"I'm afraid those are your
orders, Major.  Once you
reach your objective, Dillon
will evaluate the situation
and take charge."
