,character,line #,line
0,LEADER,0,"Hey, hey...what's wrong with
this picture?"
1,LEADER,1,"Nice night for a walk, eh?"
2,TERMINATOR,2,Nice night for a walk.
3,SECOND PUNK,3,"Washday tomorrow, huh?  Nothing
clean, right?"
4,TERMINATOR,4,Nothing clean.  Right.
5,LEADER,5,"This guy's a couple bricks
short."
6,TERMINATOR,6,Your clothes.  Give them to me.
7,TERMINATOR,7,Now.
8,SECOND PUNK,8,"Fuck you, asshole."
9,DERELICT,9,"Say, buddy...did you see a
real bright light?"
10,FIRST COP,10,"Hold it, right there!"
11,REESE,11,What day is it?  The date...
12,COP,12,Thursday...uh...May twelfth.
13,REESE,13,What year?
14,SARAH,14,"Watch this for me, big buns."
15,BREEN (V.O.),15,Sarah?
16,SARAH,16,"Yes, Chuck?"
17,BREEN,17,"Come to the office, please."
18,SARAH,18,"Mission control to Chuck,
come in..."
19,BREEN,19,You're late.
20,SARAH,20,Aren't I worth waiting for?
21,BREEN,21,"Not really.  Do you think you
can get here on time if I put
you on the floor as a waitress?"
22,SARAH,22,"I don't know.  I kinda had
my heart set on being a
cashier the rest of my life."
23,BREEN,23,"The pay's the same but you'll
make more in tips."
24,SARAH,24,"Thanks, Chuck.  I need the
money.  Can I still work the
hours around my classes?"
25,BREEN,25,Mmm.  Same schedule's okay.
26,SARAH,26,Alright!
27,BREEN,27,Can you handle it?
28,SARAH,28,"It's not brain surgery,
Chuck."
29,BREEN,29,"Here you go.  You're a
Bob's Girl now.  Nancy
will check you out."
30,SARAH,30,I won't let the fat kid down.
31,SARAH,31,"Hi, I'm Sarah and I'll be
you waitress."
32,SARAH,32,"I'm so wholesome, I could
puke."
33,TERMINATOR (V.O.),33,...the Remington 1100 Autoloader...
34,CLERK,34,Anything else?
35,TERMINATOR,35,"A phased plasma pulse-laser in
the forty watt range..."
36,CLERK,36,"Just what you see, pal."
37,TERMINATOR,37,The Uzi 9 millimeter.
38,CLERK,38,"You know your weapons, buddy."
39,CLERK,39,"Any one of them's ideal for
home defense. Which'll it be?"
40,TERMINATOR,40,All.
41,CLERK,41,"Maybe I'll close early.
Cash or charge?"
42,CLERK,42,"Sorry, I can't sell the ammo
with the guns.  You'll have
to---Hey!"
43,CLERK,43,You can't to that...
44,TERMINATOR,44,Wrong.
45,MAN,45,"Hey, man..."
46,CUSTOMER,46,"Honey, can I get that coffee
now?"
47,SARAH,47,"Yes sir, just a second."
48,SARAH,48,Who gets the Burly Burger?
49,CUSTOMER TWO,49,I ordered Barbecue Beef.
50,CUSTOMER THREE,50,Does mine come with fires?
51,CUSTOMER FOUR,51,"He's got the Barbecue Beef,
I've got a Chili-Beef Deluxe."
52,SARAH,52,"Okay, who gets the Burly Beef?"
53,CUSTOMER AT NEXT TABLE,53,"Miss, we're ready to order."
54,SARAH,54,"Oh, sorry.  That's not real
leather, is it?"
55,NANCY,55,"Look at it this way: in a
hundred years, who's gonna
care?"
56,TERMINATOR,56,Sarah Connor?
57,WOMAN,57,"No, she's upstairs.  Who
shall I say is--"
58,WOMAN,58,"What do you think you're--
My God!"
59,WOMAN,59,Oh my God...Sarah!
60,WRONG SARAH CONNOR,60,"What is it, Mom?"
61,TAKE-OUT CUSTOMER,61,"Gimme a falafel with yogurt
dressing and, uh, Baco-bits."
62,REESE,62,"Gimme a falafel with, uh,
yogurt and Baco-bits."
63,COUNTERMAN,63,That'll be one-sixty.
64,COUNTERMAN,64,Hey!  Son-of-a-bitch.
65,SARAH,65,"I haven't seen you in here
lately, Mr. Miller."
66,MR. MILLER,66,What's it to ya?
67,SARAH,67,You must have a girlfriend.
68,MR. MILLER,68,That's none of your business.
69,SARAH,69,Aha!  Is she young?
70,MR. MILLER,70,"Compared to me she is.  How
come you're not at the cash
anymore?  They catch ya steal-
ing?"
71,SARAH,71,What's it to ya?
72,SARAH,72,"I'm on break, Chuck.  Carla's
got my station."
73,NANCY,73,"Hurry up.  It's about you...
I mean sort of...Come on!"
74,WAITRESS,74,"Hey, Sarah.  This is weird."
75,TV ANCHORWOMAN,75,"...and a police spokesman at
the scene refused to speculate
on a motive for the execution-
style slaying of the Encino
housewife.  He did however say
that an accurate description of
the suspect has been compiled
from several witnesses.  Once
again, Sarah Connor, thirty-five,
mother of two, brutally shot to
death in her home this afternoon."
76,NANCY,76,"You're dead, honey."
77,MARCO,77,"Hi. I've seen you around.
You're cute.  Cute I remember."
78,SARAH,78,I'm Sarah.  Ginger's roommate.
79,MARCO,79,"Yeah, right.  I'm Marco."
80,GINGER,80,"...and three aaand four!  And
that's it ladies!  Now, didn't
that feel good?"
81,GINGER,81,"Let's think positive or next
time I'll play the FM version."
82,SARAH,82,"...yeah, really?  Say some-
thing in Italian."
83,GINGER,83,"You're wasting your time, kiddo.
Let's go."
84,SARAH,84,I don't believe you did that.
85,SARAH,85,"I had him hooked.  He was
just about to ask me out.
I could tell."
86,GINGER,86,"That guy's a jerk.  I did
you a favor."
87,SARAH,87,"I'll do the same for you
sometime."
88,GINGER,88,"You think somebody's gonna
do this for you?  Look at
those shriveled bi's.  And
you haven't worked lat's or
ab's since Wednesday."
89,MATT,89,"Hello, sweetheart.  Had a
rough day?"
90,GINGER,90,"Come here, wimp."
91,SARAH,91,"Hi, Matt."
92,MATT,92,"Heeey!  It's my favorite
Sarah.  Hi, babe."
93,GINGER,93,"Alright, warm-ups are over.
Back to work, Bunky."
94,MATT,94,"'Bye beautiful.  You too,
Ginger."
95,WEIGHTLIFTER,95,Bunky?
96,BOY,96,"Hey, mister...?"
97,SISTER,97,"See, I told you he wasn't
dead.  You owe me Baskin
Robbins."
98,BOY,98,Come on.  Just come on.
99,SARAH,99,Hello?
100,VOICE (V.O.),100,"First I'm going to rip the
buttons off your blouse, one
by one...then run my tongue
along your neck, down to your
bare, gleaming breasts..."
101,SARAH,101,Ginger!  It's Matt.
102,MATT (V.O.),102,"...and then slowly pull your
jeans off inch by inch and
lick your belly in circles,
further and further down...
then I'll pull off your panties
with my teeth..."
103,SARAH,103,Who is this?
104,MATT (V.O.),104,"Oh my God!  Sarah!  Oh, shit.
Jesus, I'm sorry.  I thought
you were...Can I talk to Ginger?"
105,SARAH,105,"Sure, Bunky."
106,GINGER,106,Hello?
107,MATT (V.O.),107,"First I'm gonna rip the buttons
off your blouse..."
108,SARAH,108,What do you think?
109,GINGER,109,Great.
110,SARAH,110,How about this?
111,GINGER,111,Great.
112,SARAH,112,You're a big help.
113,GINGER,113,"Alright, the beige one."
114,SARAH,114,I hate the beige one.
115,GINGER,115,Don't wear the beige one.
