,character,line #,line
0,FEMALE,0,"JOHNNY, PLEASE"
1,FEMALE,1,"""Johnny, please.  Johnny please."""
2,FEMALE,2,You're scaring me.
3,MALE LEFT,3,"DADDY, DON'T. DADDY"
4,MALE LEFT,4,"I don't like you any more, Carol."
5,FEMALE,5,Put the scissors down.  You're
6,MALE RIGHT,6,"Oh, Carol."
7,FEMALE,7,Johnny!  Stop!
8,MALE RIGHT,8,Don't grab at me!  Let
9,MALE LEFT,9,Daddy!  No!
10,ALL THREE,10,Murderer!
11,JOHNNY,11,Why'd you let me sleep so long?
12,CAROL,12,"It's Saturday, Johnny, you always --"
13,CAROL,13,Why are you staring at me like that?
14,JOHNNY,14,"I'm unhappy that you let me sleep so
long."
15,JOHNNY,15,I didn't do anything!
16,OFFICER 1,16,"Come out of the closet on your hands
and knees."
17,OFFICER 1,17,Hands and knees!
18,JOHNNY,18,I didn't...
19,OFFICER 1,19,"John Palmer, if you were being
arrested for any other crime, I would
now read you your rights."
20,OFFICER 1,20,"But you are under arrest for the
future murderer of your wife, Carol
Palmer.  You have no rights."
21,WITWER,21,Thought we might a had a runner.
22,ANDERSON,22,"Yeah, a runner."
23,WITWER,23,A little chase -- that'd been good.
24,ANDERSON,24,"Fifty cops on the scene takes the
chase out of them."
25,WITWER,25,But only eight of us were real.
26,ANDERSON,26,"We ever get a runner, I'd be too old
to give chase."
27,WITWER,27,"You'd chase.  You'd love it,.  Man."
28,ANDERSON,28,"I love it more Johnny boy doesn't
get to murder his wife."
29,WITWER,29,It's a beautiful world.
30,LISA,30,"Jesus, Paul.  Your heart's hammering."
31,LISA,31,I excite you that much?
32,ANDERSON,32,I used to love being a cop.
33,LISA,33,"You're still a cop.  I'm a factory
worker.  We don't catch murderers.
We process them."
34,LISA,34,"You're the best homicide cop in the
country."
35,ANDERSON,35,"Great -- except there's no such thing
as homicide.  What I do best doesn't
exist anymore."
36,LISA,36,PAUL.
37,LISA,37,"You're the Director of a perfect
system.  A Cop with a perfect record"
38,ANDERSON,38,The
39,ANDERSON,39,"have a perfect record.
They identify the accused -- I just
put on my monkey suit and go round
them up."
40,LISA,40,And then
41,LISA,41,"prosecute them.  And they
go to jail.  And lives are saved.
Thousands of lives."
42,LISA,42,And that's a cop's dream.
43,ANDERSON,43,No.  You're a cop's dream.
44,ANDERSON,44,Who called?
45,LISA,45,"No one.  I called about my hair.
Getting it done this afternoon."
46,ANDERSON,46,"Come on in, neighbor.  Want some
coffee?"
47,FRANK D'IGNAZIO,47,Brought these for your supper.
48,LISA,48,"Oh, Frank.  That's so sweet.  Thank
you."
