,character,line #,line
0,CURLY'S VOICE,0,"Oh, no."
1,GITTES,1,"All right, enough is enough. You
can't eat the Venetian blinds, Curly.
I just had 'em installed on Wednesday."
2,GITTES,2,Down the hatch.
3,CURLY,3,She's just no good.
4,GITTES,4,"What can I tell you, Kid? You're
right. When you're right, you're
right, and you're right."
5,CURLY,5,Ain't worth thinking about.
6,GITTES,6,"You're absolutely right, I wouldn't
give her another thought."
7,CURLY,7,"You know, you're okay, Mr. Gittes. I
know it's your job, but you're okay."
8,GITTES,8,"Thanks, Curly. Call me Jake."
9,CURLY,9,"Thanks. You know something, Jake?"
10,GITTES,10,"What's that, Curly?"
11,CURLY,11,I think I'll kill her.
12,WOMAN,12,"I was hoping Mr. Gittes could see to
this personally."
13,WALSH,13,"If you'll allow us to complete our
preliminary questioning, by then
he'll be free."
14,CURLY,14,They don't kill a guy for that.
15,GITTES,15,Oh they don't?
16,CURLY,16,"Not for your wife. That's the
unwritten law."
17,GITTES,17,"I'll tell you the unwritten law, you
dumb son of a bitch, you gotta be
rich to kill somebody, anybody and
get away with it. You think you got
that kind of dough, you think you
got that kind of class?"
18,CURLY,18,...No...
19,GITTES,19,"You bet your ass you don't. You can't
even pay me off."
20,CURLY,20,"I'll pay the rest next trip. We only
caught sixty ton of skipjack around
San Benedict. We hit a chubasco,
they don't pay you for skipjack the
way they do for tuna or albacore."
21,GITTES,21,"Forget it. I only mention it to
illustrate a point..."
22,GITTES,22,I don't want your last dime.
23,GITTES,23,What kind of guy do you think I am?
24,CURLY,24,"Thanks, Mr. Gittes."
25,GITTES,25,"Call me Jake. Careful driving home,
Curly."
26,SOPHIE,26,"A Mrs. Mulwray is waiting for you,
with Mr. Walsh and Mr. Duffy."
27,WALSH,27,"Mrs. Mulwray, may I present Mr.
Gittes?"
28,GITTES,28,"How do you do, Mrs. Mulwray?"
29,MRS. MULWRAY,29,Mr. Gittes...
30,GITTES,30,"Now, Mrs. Mulwray, what seems to be
the problem?"
31,MRS. MULWRAY,31,"My husband, I believe, is seeing
another woman."
32,GITTES,32,"No, really?"
33,MRS. MULWRAY,33,I'm afraid so.
34,GITTES,34,I am sorry.
35,MRS. MULWRAY,35,"Can't we talk about this alone, Mr.
Gittes?"
36,GITTES,36,"I'm afraid not, Mrs. Mulwray. These
men are my operatives and at some
point they're going to assist me. I
can't do everything myself."
37,MRS. MULWRAY,37,Of course not.
38,GITTES,38,"Now, what makes you certain he is
involved with someone?"
39,MRS. MULWRAY,39,A wife can tell.
40,GITTES,40,"Mrs. Mulwray, do you love your
husband?"
41,MRS. MULWRAY,41,...Yes of course.
42,GITTES,42,Then go home and forget about it.
43,MRS. MULWRAY,43,But...
44,GITTES,44,"I'm sure he loves you, too. You know
the expression, let sleeping dogs
lie? You're better off not knowing."
45,MRS. MULWRAY,45,But I have to know.
46,GITTES,46,"All right, what's your husband's
first name?"
47,MRS. MULWRAY,47,Hollis. Hollis Mulwray.
48,GITTES,48,Water and Power?
49,MRS. MULWRAY,49,He's the Chief Engineer.
50,DUFFY,50,Chief Engineer?
51,GITTES,51,"This type of investigation can be
hard on your pocketbook, Mrs. Mulwray.
It takes time."
52,MRS. MULWRAY,52,"Money doesn't matter to me, Mr.
Gittes."
53,GITTES,53,Very well. We'll see what we can do.
54,BAGBY,54,"Gentlemen, today you can walk out
that door, turn right, hop on a
streetcar and in twenty-five minutes
end up smack in the Pacific Ocean.
Now you can swim in it, you can fish
in it, you can sail in it but you
can't drink it, you can't water your
lawns with it, you can't irrigate an
orange grove with it.  Remember we
live next door to the ocean but we
also live on the edge of the desert.
Los Angeles is a desert community.
Beneath this building, beneath every
street there's a desert. Without
water the dust will rise up and cover
us as though we'd never existed!"
55,BAGBY (O.S.),55,"The Alto Vallejo can save us from
that, and I respectfully suggest
that eight and a half million dollars
is a fair price to pay to keep the
desert from our streets and not on
top of them."
56,COUNCILMAN,56,"Mayor Bagby... let's hear from the
departments again. I suppose we better
take Water and Power first. Mr.
Mulwray."
57,MULWRAY,57,"In case you've forgotten, gentlemen,
over five hundred lives were lost
when the Van der Lip Dam gave way
core samples have shown that beneath
this bedrock is shale similar to the
permeable shale in the Van der Lip
disaster.  It couldn't withstand
that kind of pressure there."
58,MULWRAY,58,"Now you propose yet another dirt
banked terminus dam with slopes of
two and one half to one, one hundred
twelve feet high and a twelve thousand
acre water surface. Well, it won't
hold. I won't build it. It's that
simple. I am not making that kind of
mistake twice. Thank you, gentlemen."
59,COUNCIL PRESIDENT,59,"What in the hell do you think you're
doing?"
60,COUNCIL PRESIDENT,60,Get those goddam things out of here!
61,FARMER,61,"Tell me where to take them! You don't
have an answer for that so quick, do
you?"
62,FARMER,62,"You steal the water from the valley,
ruin the grazing, starve my livestock
who's paying you to do that, Mr.
Mulwray, that's what I want to know!"
63,GITTES,63,"Morning, Sophie."
64,GITTES,64,Walsh here?
65,SOPHIE,65,He's in the dark room.
66,GITTES,66,Where'd he go yesterday?
